"SP"	"IUCN"	"LUM"	"UMD"	"TEM"	"CON"	"REA"	"HUM"	"TEX"	"NIT"	"SSIZE"	"FSIZE"	"FLEN"	"QMIN"	"QRANGE"	"QMAX"	"AREA"	"RANGE_DISPERSION"	"CONGEN"	"PAPER"	"CIT"	"H"
"Acanthoprasium frutescens"	1	4	1	4.5	2	5	1	5	1	20	11	3	100	1400	1500	0.188396311476999	0.305324869310447	3	1	55	1
"Achillea erba-rotta"	2	5	1	1	3	2	3	5	2	15	11	2	2000	800	2800	7.8568616314555	1.79894581806755	16	5	139	3
"Achillea nana"	1	5	1	1	3	3	1	5	2	7.5	8	4	1800	1200	3000	0	0	16	3	39	3
"Acis nicaeensis"	4	5	1	4.5	1	4	1	1	3	12.5	10.5	3	0	1000	1000	0.00567613520000038	0.195672714828609	2	4	67	3
"Adenostyles leucophylla"	1	5	1	1	3	2	1	3	2	30	4	2	2000	1100	3100	13.498887714042	1.83891031752387	3	4	145	4
"Alchemilla pentaphyllea"	1	4	2	1	1	2	5	1	3	9	6	3	1780	1320	3100	4.73201776495	1.32069905192447	51	3	114	3
"Allium narcissiflorum"	1	4	1	2	4	5	1	1	2	27.5	14	2	1400	900	2300	3.2113931930565	1.34476969696455	18	4	100	2
"Androsace alpina"	1	5	1	1	2	2	1	5	1	7.5	8	2	190	4055	4245	5.832094958837	1.80515436245621	13	8	406	6
"Aquilegia alpina"	1	3	1	2	3	4	3	3	3	35	60	2	1400	1300	2700	0	0	4	5	397	4
"Aquilegia bertolonii"	1	4	1	3	3	4	1	5	2	20	50	3	800	1000	1800	1.32948791655	0.630360365234585	4	0	0	0
"Arabis allionii"	1	3	1	1.5	3	2	3	3	4	35	4	3	1200	800	2000	855.9782987	11.9950211401908	19	0	0	0
"Arabis caerulea"	1	5	1	1	2	4	1	3	2	7	4	2	2000	1500	3500	10.6223269435	1.86198230183786	19	6	98	5
"Artemisia genipi"	1	5	2	1	4	3	1	5	2	15	3	3	1870	1960	3830	5.64358356109999	1.55746600013513	15	18	571	14
"Artemisia glacialis"	2	5	1	1	4	3	1	5	2	10	5	2	2100	1200	3300	1.19072286112	0.920586202916082	15	2	38	2
"Berardia lanuginosa"	5	5	1	1.5	3	4	1	5	3	10	47.5	3	1500	1000	2500	0.577915815878501	0.467607610276804	1	3	14	2
"Bupleurum stellatum"	1	4	1	1.5	4	2	3	5	2	30	70	2	600	2100	2700	7.881092411477	1.70783767347501	12	1	217	1
"Campanula alpestris"	5	5	1	1.5	4	4	1	5	3	6.5	35	2	2000	800	2800	3.6340854630655	0.945921899495499	21	0	0	0
"Campanula barbata"	1	4	1	2	3	2	5	3	2	25	25	2	1200	1400	2600	13.803496136011	2.97207202935065	21	9	180	7
"Campanula bertolae"	4	3	1	3	2	2	5	3	2	35	15	2	200	1200	1400	5.3663786880145	1.52400214123426	21	2	4	1
"Campanula fritschii"	1	4	1	3.5	3	5	1	5	2	20	16	0	200	1200	1400	0.353145562649999	0.327690330187624	21	1	1	1
"Campanula isophylla"	1	3	1	3	3	4	1	5	2	22.5	20	2	0	400	400	38.480687933199	6.33752778678739	21	4	134	3
"Campanula macrorhiza"	1	3	1	3	3	4	1	5	2	22.5	20	5	200	1300	1500	2.13331541262101	1.10165195396233	21	2	4	1
"Campanula rhomboidalis"	1	4	1	2.5	3	3	3	3	4	35	16	6	900	1900	2800	0	0	21	1	1	1
"Campanula sabatia"	3	4	1	4.5	4	4	1	5	2	35	20	2	0	1000	1000	0.0975970691419993	0.245268306781567	21	3	32	2
"Campanula spicata"	1	4	1	4	5	3	3	5	2	50	18.5	2	400	2100	2500	12.5216916161365	1.78085151181367	21	2	9	1
"Campanula stenocodon"	1	4	1	2.5	3	4	3	3	2	22.5	16	5	1600	500	2100	0.961824533257	0.473361453146948	21	1	1	1
"Cephalaria alpina"	2	3	1	2.5	4	4	3	3	4	80	40	3	1000	800	1800	111.286633787013	3.35375499624352	3	1	2	1
"Cerastium pedunculatum"	1	5	1	1	2	2	1	5	2	7.5	15	3	1800	700	2500	0	0	24	3	221	3
"Cirsium morisianum"	1	4	1	3.5	3	3	3	3	4	105	40	3	500	1300	1800	2.4387291681185	0.92386620094724	18	0	0	0
"Coincya richeri"	5	4	1	1.5	3	2	1	5	2	25	17	2	900	1600	2500	0.724291644010001	0.496786426689023	2	0	0	0
"Crocus ligusticus"	3	4	1	4	3	3	5	3	2	20	55	3	600	700	1300	0.429412027338501	0.348846110480836	5	0	0	0
"Cytisus ardoini"	1	4	1	3	4	5	3	3	2	300	30	2	850	350	1200	0.13999909025	0.253849646210443	11	0	0	0
"Daphne striata"	2	3	1	1.5	3	4	3	3	2	10	11	4	1500	1200	2700	4.2901931271385	1.2233112566368	5	1	0	0
"Delphinium dubium"	1	3	1	2	2	4	5	3	4	50	27.5	3	1600	800	2400	1.08369238445	0.512142278349944	3	3	26	2
"Epilobium fleischeri"	1	5	3	2	3	4	1	5	3	25	27.5	3	600	2100	2700	8.31179200199751	1.75065642700433	18	10	414	8
"Erigeron schleicheri"	1	4	1	2	4	3	1	5	2	10	17.5	2	1000	1700	2700	0	0	12	0	0	0
"Eritrichium nanum"	1	5	1	1	3	2	1	5	2	2.5	6.5	2	2500	800	3300	0.0890339516050002	3.0047006464037	1	10	95	7
"Eryngium spinalba"	4	4	1	2.5	3	4	3	3	3	27.5	55	2	1000	1100	2100	0.641527106944999	0.412154755001123	3	1	8	1
"Erysimum rhaeticum"	1	4	1	3	4	2	3	5	2	30	1.75	3	100	1700	1800	0	0	9	0	0	0
"Euphorbia valliniana"	1	5	1	2.5	4	4	1	5	2	11.5	5	2	1200	800	2000	0.001	0.149248745150944	23	0	0	0
"Festuca acuminata"	1	5	1	2.5	4	2	1	5	2	35	5.5	8	200	2500	2700	4.156288526325	1.17047939716604	46	1	9	1
"Festuca dimorpha"	1	5	1	2	3	4	1	5	1	50	10.5	2	1500	1000	2500	0.001	0	46	1	8	1
"Festuca flavescens"	1	3	1	2.5	4	2	3	3	2	40	10	2	1000	1000	2000	1.4333818612	0.69792800720613	46	0	0	0
"Fritillaria involucrata"	3	4	2	3.5	3	4	3	3	3	35	37.5	1	400	1100	1500	0	0	5	0	0	0
"Fritillaria tubaeformis"	1	4	1	2.5	3	4	3	3	2	22.5	40	2	800	1700	2500	17.1339569651155	2.27645898455024	5	0	0	0
"Galeopsis reuteri"	3	5	1	3.5	3	4	1	5	2	50	19	3	200	1400	1600	0.356955179610003	0.308564272570438	7	2	67	2
"Galium megalospermum"	1	5	1	1.5	3	5	1	5	2	11.5	3.5	3	2000	1100	3100	7.07590881400001	1.61999908947885	39	0	0	0
"Galium obliquum"	1	4	1	4	4	5	3	3	2	50	3	4	1000	1000	2000	4.0862140084	1.20744592257794	39	0	0	0
"Galium pseudohelveticum"	1	5	1	1.5	3	5	1	5	2	14	2	2	1000	1800	2800	0.584482553824999	0.389524785241134	39	0	0	0
"Galium rubrum"	1	4	1	4	4	3	3	3	2	35	3	3	400	600	1000	57.17577736953	4.57851773781334	39	0	0	0
"Galium tendae"	1	5	1	1.5	3	2	1	5	1	11	2.5	2	1600	1400	3000	0.0837456463499997	0.261256873599874	39	0	0	0
"Gentiana bavarica"	1	4	3	1.5	2	3	3	1	2	6.5	25	2	1800	1200	3000	0.001	0.00923663587147568	21	2	104	2
"Gentiana ligustica"	1	4	2	2.5	3	5	3	3	2	6	50	2	600	1900	2500	0.214388066405	0.252931229851417	21	5	129	5
"Geranium rivulare"	2	3	2	2	3	2	3	1	3	25	20	2	1400	1300	2700	25.1791094535375	2.20971095206061	19	0	0	0
"Globularia cordifolia"	1	5	3	2.5	4	5	1	5	2	7.5	5	3	200	2400	2600	57.6894856960405	3.4872431852027	4	10	113	4
"Gymnadenia corneliana"	1	4	1	1.5	3	4	3	3	2	14	8	4	1200	1400	2600	1.99646363182	0.777334771132828	2	4	32	4
"Helianthemum lunulatum"	3	5	1	2.5	4	5	3	5	2	12.5	17.5	3	800	1400	2200	0.204770094431001	0.367695971287885	15	1	11	1
"Helictotrichon parlatorei"	1	5	1	1.5	4	4	1	5	2	55	95	4	1400	1300	2700	11.53968353065	2.20539609233544	4	4	65	3
"Helictotrichon sempervirens"	1	4	1	2	5	5	3	5	2	80	14	2	1400	1300	2700	1.625996457815	1.45852623485238	4	4	7	2
