"SP"	"ORD"	"FAM"	"FBIO"	"HBT"	"COL"
"Acanthoprasium frutescens"	"Lamiales"	"Lamiaceae"	"Ch frut"	"Detriti"	"blanc"
"Achillea erba-rotta"	"Asterales"	"Asteraceae"	"Ch suff"	"Detriti"	"blanc"
"Achillea nana"	"Asterales"	"Asteraceae"	"H scap"	"Detriti"	"blanc"
"Acis nicaeensis"	"Asparagales"	"Amaryllidaceae"	"G bulb"	"Prateria"	"blanc"
"Adenostyles leucophylla"	"Asterales"	"Asteraceae"	"H scap"	"Detriti"	"rose"
"Alchemilla pentaphyllea"	"Rosales"	"Rosaceae"	"H ros"	"Prateria"	"vert"
"Allium narcissiflorum"	"Asparagales"	"Amaryllidaceae"	"G bulb"	"Detriti"	"rose"
"Androsace alpina"	"Ericales"	"Primulaceae"	"Ch pulv"	"Detriti"	"rose"
"Aquilegia alpina"	"Ranunculales"	"Ranunculaceae"	"H scap"	"Megaforbieto"	"bleu"
"Aquilegia bertolonii"	"Ranunculales"	"Ranunculaceae"	"H scap"	"Rupi"	"bleu"
"Arabis allionii"	"Brassicales"	"Brassicaceae"	"H ros"	"Rupi"	"blanc"
"Arabis caerulea"	"Brassicales"	"Brassicaceae"	"H ros"	"Prateria"	"bleu"
"Artemisia genipi"	"Asterales"	"Asteraceae"	"H scap"	"Detriti"	"blanc"
"Artemisia glacialis"	"Asterales"	"Asteraceae"	"H scap"	"Rupi"	"blanc"
"Berardia lanuginosa"	"Asterales"	"Asteraceae"	"H ros"	"Detriti"	"blanc"
"Bupleurum stellatum"	"Apiales"	"Apiineae"	"H scap"	"Rupi"	"jaune"
"Campanula alpestris"	"Asterales"	"Campanulaceae"	"H ros"	"Detriti"	"bleu"
"Campanula barbata"	"Asterales"	"Campanulaceae"	"H scap"	"Prateria"	"bleu"
"Campanula bertolae"	"Asterales"	"Campanulaceae"	"H scap"	"Rupi"	"bleu"
"Campanula fritschii"	"Asterales"	"Campanulaceae"	"H scap"	"Rupi"	"bleu"
"Campanula isophylla"	"Asterales"	"Campanulaceae"	"H scap"	"Rupi"	"bleu"
"Campanula macrorhiza"	"Asterales"	"Campanulaceae"	"Ch pulv"	"Rupi"	"bleu"
"Campanula rhomboidalis"	"Asterales"	"Campanulaceae"	"H scap"	"Prateria"	"bleu"
"Campanula sabatia"	"Asterales"	"Campanulaceae"	"H scap"	"Rupi"	"bleu"
"Campanula spicata"	"Asterales"	"Campanulaceae"	"H bienn"	"Prateria"	"bleu"
"Campanula stenocodon"	"Asterales"	"Campanulaceae"	"H scap"	"Prateria"	"bleu"
"Cephalaria alpina"	"Dipsacales"	"Caprifoliaceae"	"H scap"	"Prateria"	"jaune"
"Cerastium pedunculatum"	"Caryophyllales"	"Caryophyllaceae"	"H scap"	"Detriti"	"blanc"
"Cirsium morisianum"	"Asterales"	"Asteraceae"	"H bienn"	"Prateria"	"rose"
"Coincya richeri"	"Brassicales"	"Brassicaceae"	"H scap"	"Detriti"	"jaune"
"Crocus ligusticus"	"Asparagales"	"Iridaceae"	"G bulb"	"Prateria"	"bleu"
"Cytisus ardoini"	"Fabales"	"Fabaceae"	"NP"	"Arbusteto"	"jaune"
"Daphne striata"	"Malvales"	"Thymelaeaceae"	"Ch suffr"	"Prateria"	"rose"
"Delphinium dubium"	"Ranunculales"	"Ranunculaceae"	"H casp"	"Megaforbieto"	"bleu"
"Epilobium fleischeri"	"Myrtales"	"Onagraceae"	"H scap"	"Detriti"	"rose"
"Erigeron schleicheri"	"Asterales"	"Asteraceae"	"H scap"	"Rupi"	"rose"
"Eritrichium nanum"	"Boraginales"	"Boraginaceae"	"Ch suffr"	"Rupi"	"bleu"
"Eryngium spinalba"	"Apiales"	"Apiineae"	"H scap"	"Detriti"	"blanc"
"Erysimum rhaeticum"	"Brassicales"	"Brassicaceae"	"H scap"	"Prateria"	"jaune"
"Euphorbia valliniana"	"Malpighiales"	"Euphorbiaceae"	"G rhiz"	"Detriti"	"vert"
