acceptedScientificName	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
Parus major	8.744623	46.000976	3
Parus major	13.44355	46.146207	27063
Parus major	11.010327	45.926182	
Parus major	7.240146	44.837569	31
Parus major	7.664927	44.792758	565
Parus major	11.258817	45.424994	3906
Parus major	11.56272	46.543975	1144
Parus major	9.180396	45.474434	4
Parus major	11.700962	46.562887	30
Parus major	11.702275	46.562078	28
Parus major	11.602353	46.578911	
Parus major	14.088904	37.834158	122
Parus major	9.630296	45.603332	9
Parus major	11.23882	46.057167	238
Parus major	12.472088	41.902417	
Parus major	7.664927	44.792758	565
Parus major	8.811132	45.712479	27126
Parus major	7.571587	45.150407	172
Parus major	7.724185	44.421385	371
Parus major	12.897865	41.454289	1
Parus major	9.311728	45.437215	31
Parus major	7.382292	45.066835	1100
Parus major	8.649964	45.719921	9
Parus major	9.261971	44.89848	15
Parus major	11.863431	43.462627	4
Parus major	7.664927	44.792758	565
Parus major	12.294087	45.889114	61
Parus major	9.990471	46.168409	30
Parus major	11.014603	45.939238	
Parus major	11.083091	45.922566	44
Parus major	7.382292	45.066835	1100
Parus major	11.633839	44.767343	1020
Parus major	9.787663	45.190891	1300
Parus major	10.21785	45.368021	2213
Parus major	9.293936	45.605364	66
Parus major	11.865326	43.457912	5
Parus major	7.664927	44.792758	565
Parus major	8.501744	45.752619	8
Parus major	7.41623	45.113913	822
Parus major	11.995704	45.295789	1062
Parus major	8.146783	44.831529	14
Parus major	9.641634	45.664417	2
Parus major	8.499391	45.745477	15
Parus major	9.129313	45.190645	8
Parus major	11.341663	46.498457	28
Parus major	11.262784	44.383621	720
Parus major	11.173397	43.82487	4
Parus major	9.09658	45.484032	8
Parus major	7.664927	44.792758	565
Parus major	9.451553	45.725152	7
Parus major	13.160949	45.762322	244
Parus major	8.492428	45.745208	31
Parus major	8.107005	44.936407	5
Parus major	7.975179	45.579696	8
Parus major	11.089667	45.877222	
Parus major	11.995704	45.295789	1062
Parus major	7.773334	44.950068	2658
Parus major	11.880381	45.95364	56
Parus major	11.893504	43.458153	8
Parus major	8.10351	44.925608	6
Parus major	8.084086	44.955554	31
Parus major	8.08877	44.95413	117
Parus major	8.608887	45.563757	148
Parus major	9.176487	39.831741	18080
Parus major	7.052576	44.890613	50
Parus major	7.666241	44.79312	42
Parus major	7.454442	45.004567	15
Parus major	11.8697	43.4758	
Parus major	11.8653	43.4579	
Parus major	11.2627	45.988577	446
Parus major	7.240146	44.837569	31
Parus major	7.700678	44.499416	97
Parus major	12.982839	43.805372	190
Parus major	10.785517	45.15158	77
Parus major	8.500545	45.734984	15
Parus major	8.493095	45.735049	31
Parus major	8.499229	45.739076	15
Parus major	7.664927	44.792758	565
Parus major	8.176778	45.675533	3
Parus major	9.273567	45.478007	83
Parus major	7.41623	45.113913	822
Parus major	11.004383	45.912753	
Parus major	11.66128	44.901977	4
Parus major	11.995704	45.295789	1062
Parus major	11.625176	44.853257	129
Parus major	7.382292	45.066835	1100
Parus major	7.888134	45.155951	61
Parus major	9.630116	45.603312	9
Parus major	7.700678	44.499416	97
Parus major	7.664927	44.792758	565
Parus major	8.497974	45.742431	2
Parus major	12.362768	46.682481	2
Parus major	7.724792	45.089975	364
Parus major	13.407488	46.114095	2754012
Parus major	7.701287	44.498771	61
Parus major	8.701793	45.533396	15
Parus major	7.239231	45.077461	27222
Parus major	10.989622	45.877543	
Parus major	9.096384	45.484099	4
Parus major	8.129406	45.91209	4
Parus major	10.625262	45.017713	16
Parus major	7.664927	44.792758	565
Parus major	8.494207	45.742842	2
Parus major	10.963907	45.895807	
Parus major	9.690063	45.948982	4
Parus major	11.063648	45.86984	
Parus major	7.377164	44.208497	122
Parus major	9.858286	45.768682	27126
Parus major	7.671434	45.013444	31
Parus major	7.700678	44.499416	97
Parus major	8.640846	45.72447	2
Parus major	8.929428	45.8306	7
Parus major	7.889705	45.046287	373
Parus major	8.699506	46.067652	89
Parus major	11.125288	46.05745	182
Parus major	15.321438	37.020324	4
Parus major	7.382292	45.066835	1100
Parus major	11.054347	45.901833	
Parus major	11.052416	45.904105	183
Parus major	7.053169	44.889559	50
Parus major	7.053169	44.889566	50
Parus major	7.452113	45.004673	31
Parus major	9.396148	46.149962	
Parus major	8.71685	45.79023	2
Parus major	7.665423	44.793485	122
Parus major	9.709178	45.59394	7
Parus major	7.664927	44.792758	565
Parus major	10.509097	46.260273	256
Parus major	7.664927	44.792758	565
Parus major	11.566914	45.542818	
Parus major	9.625196	46.003669	8
Parus major	11.630096	45.818304	22
Parus major	7.664927	44.792758	565
Parus major	7.701302	44.498745	184
Parus major	6.999945	45.044521	20
Parus major	12.450195	45.63403	
